Position,Name,Time,Category,Category Position
405th,Ihaka Pink,2:17:55,M 11-34,94th
406th,Azuree Peterson,2:17:56,F 11-34,61st
407th,Leanne Winsor,2:17:58,F 45-49,20th
408th,Julito Tabumpama,2:18:00,M 35-39,29th
409th,Yuhim Gordon Lam,2:18:03,M 11-34,95th
410th,Michele Littlewood,2:18:05,F 60-64,4th
411th,Paul Gymer,2:18:05,M 50-54,32nd
412th,William Walton,2:18:14,M 11-34,96th
413th,Nicola Roy,2:18:22,F 35-39,22nd
414th,Josh Nicholls,2:18:28,M 35-39,30th
415th,John Park,2:18:37,M 11-34,97th
416th,Aaron Eruera,2:19:15,M 11-34,98th
417th,Graham Batchelor,2:19:21,M 70-74,4th
418th,Rebecca Pole,2:19:23,F 11-34,62nd
419th,Francisca Gabrielli,2:19:24,F 11-34,63rd
420th,Renee Duncan,2:19:25,F 35-39,23rd
421st,Frederic Morueta,2:19:37,M 35-39,31st
422nd,Vivien Oesterle,2:19:50,M 11-34,99th
423rd,Sandra Jensen,2:19:50,F 40-44,23rd
424th,Lilly Houston,2:20:18,F 11-34,64th
425th,Taylor Watson,2:20:40,M 11-34,100th
426th,Michael Norton,2:20:50,M 50-54,33rd
427th,Cathie Blade,2:20:53,F 60-64,5th
428th,Brian Sutherland,2:21:01,M 50-54,34th
429th,Kevin Best,2:21:08,M 60-64,13th
430th,Sharon Wrenn,2:21:11,F 60-64,6th
431st,Kate Mitchell,2:21:25,F 11-34,65th
432nd,Laurene Merritt,2:21:28,F 35-39,24th
433rd,Evelyn King,2:21:29,F 65-69,3rd
434th,Georgia Lusty,2:21:44,F 11-34,66th
435th,Shannon Martin,2:21:52,F 35-39,25th
436th,Jenni Fonoti,2:21:52,F 45-49,21st
437th,Debbie Owen,2:21:55,F 55-59,14th
438th,Kim Batters,2:22:02,F 40-44,24th
439th,Jackie Roberts,2:22:15,F 50-54,13th
440th,Amanda Bowman,2:22:18,F 11-34,67th
441st,Stephen Jenkins,2:22:18,M 11-34,101st
442nd,Susan Rigby,2:22:20,F 11-34,68th
443rd,Tomomi Sakai,2:22:21,F 11-34,69th
444th,Kenta Kadoba,2:22:23,M 11-34,102nd
445th,Helen Ouwehand,2:22:23,F 11-34,70th
446th,Hesta Prentice,2:22:26,F 45-49,22nd
447th,David Pender,2:22:38,M 11-34,103rd
448th,Sarah Edmonson,2:22:46,F 35-39,26th
449th,Kaye King,2:22:49,F 60-64,7th
450th,Jim Watling,2:23:07,M 65-69,9th
451st,Jude Sprott,2:23:17,F 60-64,8th
452nd,Sam Davies,2:23:18,F 11-34,71st
453rd,Anneke Lock,2:23:20,F 11-34,72nd
454th,Radka Kotalova,2:23:23,F 11-34,73rd
455th,Brian Cathro,2:23:28,M 45-49,27th
456th,Louie Aldueza,2:23:50,M 35-39,32nd
457th,Robbie Evans,2:24:06,M 11-34,104th
458th,Paul Clark,2:24:09,M 60-64,14th
459th,Robert Johnson,2:24:17,M 70-74,5th
460th,Sue Johnson,2:24:17,F 70-74,1st
461st,John Wilkinson,2:24:23,M 45-49,28th
462nd,Richard Eaton,2:24:27,M 11-34,105th
463rd,Callie Burt,2:24:42,F 11-34,74th
464th,Ruth Mills,2:24:56,F 11-34,75th
465th,Susan Ball,2:25:01,F 50-54,14th
466th,Heather Chamberlain,2:25:19,F 60-64,9th
467th,Raewyn Morris,2:25:20,F 60-64,10th
468th,Nicole Roder,2:25:32,F 11-34,76th
469th,Nathalie Jacquemard,2:25:32,F 11-34,77th
470th,Edwina Wooderson,2:25:37,F 11-34,78th
471st,Kenji Okawa,2:25:46,M 35-39,33rd
472nd,David Schnauer,2:25:53,M 65-69,10th
473rd,Mere George,2:25:57,F 35-39,27th
474th,Dave Eastmond,2:26:02,M 80-99,1st
475th,Maletino Lilomaiava,2:26:03,M 50-54,35th
476th,Ian McDonald,2:26:04,M 70-74,6th
477th,Sheila Faithfull,2:26:05,F 65-69,4th
478th,Martin Brooks,2:26:11,M 60-64,15th
479th,Amy Santoso,2:26:13,F 40-44,25th
480th,Yvette Lusby,2:26:14,F 45-49,23rd
481st,Jonathan Burchell,2:26:17,M 45-49,29th
482nd,Max Bragg,2:26:22,M 70-74,7th
483rd,Andrea Rore,2:26:22,F 40-44,26th
484th,Frances Schipper,2:26:24,F 55-59,15th
485th,Gretchen Hatton,2:26:29,F 11-34,79th
486th,Marina Lepeshkina,2:26:36,F 35-39,28th
487th,Dennis Ryan,2:26:46,M 65-69,11th
488th,Janet Dale,2:26:46,F 65-69,5th
489th,Karen Shepherd,2:26:59,F 40-44,27th
490th,Wayne Mansell,2:27:06,M 60-64,16th
491st,Sherwin Tian,2:27:12,M 11-34,106th
492nd,Keryn Obrien,2:27:21,F 45-49,24th
493rd,Amy Larsen,2:27:24,F 11-34,80th
494th,Doun Surtees,2:27:29,F 45-49,25th
495th,Grace Hawkins,2:27:29,F 50-54,15th
496th,Teresa Vanderboor,2:27:32,F 11-34,81st
497th,Cathy Berglund,2:27:32,F 55-59,16th
498th,Robert Wynn,2:27:38,M 80-99,2nd
499th,Andrew Black,2:27:38,M 50-54,36th
500th,Jacqui Morrissey,2:27:39,F 50-54,16th
501st,Dieter Rass,2:27:44,M 60-64,17th
502nd,Scott Keene,2:27:45,M 11-34,107th
503rd,Philip MacAlister,2:27:48,M 55-59,20th
504th,Daniel Jackson,2:28:17,M 35-39,34th
505th,Monica Holt,2:28:23,F 40-44,28th
506th,Rj Moka,2:28:46,M 35-39,35th
507th,Sandra Kindley,2:28:50,F 50-54,17th
508th,Cat Colebourne,2:28:53,F 11-34,82nd
509th,Lisa Mexted,2:29:14,F 55-59,17th
510th,Morgan Lang,2:29:22,F 11-34,83rd
511th,Shane McErlane,2:29:25,M 11-34,108th
512th,Gillian Farnworth,2:29:40,F 40-44,29th
513th,Rees Lewis,2:29:40,M 45-49,30th
514th,Tom Ho,2:29:40,M 11-34,109th
515th,Monica Brice,2:29:43,F 55-59,18th
516th,Nicola McGregor,2:29:44,F 11-34,84th
